Name,Rh,e_Rh,n,e_n,b/a,e_b/a,thetai,e_thetai,PAvel,e_PAvel,Vrot,e_Vrot,Vcirc/Vrot,sig,e_sig,Vrot/sig,e_Vrot/sig,Quality
SHIZELS-5,4.4,1.5,0.9,0.3,0.6,0.1,52,6,109,44,101,56,2.31,93,9,1.1,0.6,2
SHIZELS-6,4.3,2.1,0.6,0.2,0.9,0.1,31,12,91,16,22,22,4.85,44,4,0.5,0.5,3
SHIZELS-13,5.1,1.2,0.9,0.2,0.7,0.1,47,4,147,30,29,26,5.8,71,7,0.4,0.4,2
SHIZELS-15,3.3,2.6,0.6,0.4,0.8,0.2,33,16,145,7,77,20,1.64,47,4,1.6,0.5,2
SHIZELS-4,4.0,2.9,0.9,0.2,0.5,0.1,62,3,38,46,21,31,11.68,106,10,0.2,0.3,2
SHIZELS-1,2.8,0.2,1.2,0.1,0.7,0.1,47,1,21,65,98,37,2.28,86,8,1.1,0.5,1
SHIZELS-16,4.1,0.8,1.6,0.2,0.5,0.1,60,3,97,34,63,54,2.53,71,7,0.9,0.8,3
SHIZELS-17,1.7,1.0,2.0,0.4,0.4,0.1,67,4,103,46,25,23,7.94,87,8,0.3,0.3,3
SHIZELS-10,2.8,0.6,2.0,0.1,0.5,0.2,61,1,105,23,30,12,5.2,65,6,0.5,0.2,3
SHIZELS-7,4.9,0.5,1.4,0.1,0.7,0.1,44,1,154,59,159,69,1.4,70,7,2.3,1.0,1
SHIZELS-8,5.7,0.4,0.6,0.1,0.9,0.1,28,1,125,20,143,33,1.22,69,6,2.1,0.5,1
SHIZELS-9,5.9,0.6,0.8,0.1,0.7,0.1,46,2,71,3,125,45,1.57,67,6,1.8,0.7,2
SHIZELS-12,4.9,0.2,0.6,0.2,0.9,0.1,31,1,50,31,379,154,1.17,87,8,4.4,1.9,2
SHIZELS-18,4.4,0.5,0.6,0.2,0.7,0.1,47,2,122,12,68,25,4.05,111,11,0.6,0.2,2
SHIZELS-19,2.1,0.5,0.9,0.1,0.7,0.2,45,1,16,6,96,18,3.24,119,11,0.8,0.2,2
SHIZELS-11,5.5,0.6,2.0,0.1,0.9,0.1,26,3,58,19,174,134,1.44,88,8,1.9,1.6,1
SHIZELS-20,4.7,3.1,1.0,0.1,0.6,0.1,58,3,127,18,159,60,1.86,104,10,1.5,0.6,1
SHIZELS-2,1.2,0.2,0.9,0.1,0.8,0.3,39,1,148,10,54,7,2.99,62,6,0.9,0.2,2
SHIZELS-3,2.7,0.7,2.0,0.1,0.7,0.3,49,1,17,71,38,28,3.31,50,5,0.7,0.6,2
SHIZELS-21,5.8,1.1,2.0,0.3,0.5,0.1,59,4,39,3,38,25,5.78,97,9,0.4,0.3,2
SHIZELS-22,3.5,3.4,0.8,0.6,0.8,0.2,34,20,135,48,16,20,3.66,71,7,0.2,0.3,2
SHIZELS-23,3.6,1.0,1.2,0.2,0.6,0.1,58,2,24,80,63,13,2.87,69,6,0.9,0.2,2
SHIZELS-24,6.2,2.0,2.0,0.2,0.9,0.1,28,2,26,64,82,41,2.31,101,10,0.8,0.4,3
SHIZELS-14,4.5,0.7,1.6,0.1,0.5,0.1,58,3,74,21,90,40,3.06,143,14,0.6,0.3,3
SHIZELS-25,4.8,3.0,0.6,0.2,0.6,0.2,54,10,50,35,86,33,3.01,87,8,1.0,0.4,3
SHIZELS-26,2.2,2.2,2.0,0.2,0.6,0.1,55,2,164,58,127,24,4.43,221,22,0.6,0.1,3
SHIZELS-27,2.1,1.4,0.6,0.2,0.2,0.1,90,35,151,43,52,8,4.01,79,7,0.7,0.1,2
SHIZELS-28,3.0,6.2,2.0,0.4,0.8,0.2,33,13,142,14,24,36,4.52,68,6,0.4,0.5,3
SHIZELS-29,0.9,0.5,1.5,0.2,0.4,0.3,72,8,162,29,37,11,5.54,83,8,0.4,0.1,2
SHIZELS-30,1.8,2.4,0.6,0.1,0.6,0.1,53,2,151,21,17,14,12.91,111,11,0.2,0.1,3
SHIZELS-30,1.1,0.5,2.0,0.4,0.6,0.1,58,2,27,51,24,10,7.91,76,7,0.3,0.1,2
SHIZELS-32,2.8,0.1,1.9,0.2,0.9,0.1,28,3,36,31,48,42,2.83,40,7,1.2,1.2,2
SHIZELS-33,0.4,2.1,2.0,0.4,0.6,0.3,55,10,81,12,64,37,11.62,314,31,0.2,0.1,3
SHIZELS-34,2.5,0.9,1.7,0.4,0.7,0.1,45,4,36,35,128,54,2.33,108,10,1.2,0.5,1
