Name,r_OName,OName,RAJ2000,DEJ2000,z,Hmag,logMass,SFR,e_SFR
SHIZELS-5,1,SA22-54,22 22 23.040,+00 47 33.0,0.81,-22.74,10.1,6,1
SHIZELS-6,1,SA22-17,22 19 36.140,+00 34 07.9,0.812,-21.6,9.9,5,2
SHIZELS-13,1,SA22-28,22 15 36.310,+00 41 08.8,0.813,-22.28,9.9,7,1
SHIZELS-15,1,SA22-26,22 18 23.000,+01 00 22.1,0.815,-22.11,9.7,6,2
SHIZELS-4,2,SHIZELS-4,10 01 55.290,+02 14 03.3,0.83,-20.88,9.2,2,1
SHIZELS-1,2,SHIZELS-1,02 18 26.310,-04 47 01.6,0.843,-22.27,10.1,6,1
SHIZELS-16,,-,02 17 42.350,-05 15 05.1,1.339,,10.4,17,2
SHIZELS-17,1,COS-16,10 00 49.010,+02 44 41.1,1.36,-22.19,9.5,9,3
SHIZELS-10,2,SHIZELS-10,02 17 39.020,-04 44 41.4,1.447,-22.62,10.1,9,2
SHIZELS-7,2,SHIZELS-7,02 17 00.340,-05 01 50.6,1.455,-23.32,10.6,12,1
SHIZELS-8,2,SHIZELS-8,02 18 20.960,-05 19 07.5,1.46,-23.66,10.3,16,2
SHIZELS-9,2,SHIZELS-9,02 17 12.990,-04 54 40.7,1.462,-24.01,10.8,26,2
SHIZELS-12,2,SHIZELS-12,02 19 01.450,-04 58 15.0,1.467,-23.9,10.7,21,2
SHIZELS-18,,-,02 17 34.200,-05 10 16.7,1.47,-22.34,10.3,49,2
SHIZELS-19,1,COS-30,09 59 11.570,+02 23 24.3,1.486,-24.01,10.3,13,2
SHIZELS-11,2,SHIZELS-11,02 18 21.230,-05 02 48.9,1.492,-25.69,10.9,23,2
SHIZELS-20,,-,09 59 37.960,+02 18 02.1,1.62,-22.35,10.8,33,2
SHIZELS-2,,-,02 19 25.500,-04 54 39.6,2.223,-22.14,9.8,18,6
SHIZELS-3,,-,10 00 27.690,+02 14 30.6,2.225,-21.25,9.0,21,3
SHIZELS-21,1,UDS-10,02 16 45.820,-05 02 45.0,2.237,-23.38,9.7,37,4
SHIZELS-22,1,SA22-01,22 19 16.060,+00 40 36.1,2.238,-23.57,10.2,34,2
SHIZELS-23,1,UDS-21,02 16 49.050,-05 03 20.8,2.239,-22.29,10.2,26,5
SHIZELS-24,1,UDS-17,02 16 55.320,-05 23 35.5,2.241,-24.46,9.8,60,3
SHIZELS-14,2,SHIZELS-14,10 00 51.580,+02 33 34.1,2.242,-25.35,9.5,81,3
SHIZELS-25,1,SA22-02,22 18 58.930,+00 05 58.3,2.253,-23.48,10.4,40,2
SHIZELS-26,,-,02 17 03.880,-05 16 19.5,3.227,-24.74,10.9,28,17
SHIZELS-27,,-,09 57 59.050,+02 38 19.7,3.238,-22.35,9.3,17,10
SHIZELS-28,,-,02 18 21.370,-05 19 16.7,3.252,-23.42,9.9,26,15
SHIZELS-29,,-,09 59 28.000,+02 44 34.0,3.253,-22.35,9.7,92,55
SHIZELS-30,,-,09 59 20.400,+02 25 21.1,3.256,-19.82,9.4,39,23
SHIZELS-30,,-,09 59 36.390,+02 17 44.0,3.263,-20.6,9.3,14,8
SHIZELS-32,,-,02 17 45.850,-05 25 45.4,3.273,-22.0,10.5,113,2
SHIZELS-33,,-,09 57 51.526,+02 36 37.9,3.278,-24.42,10.5,121,2
SHIZELS-34,,-,02 17 11.660,-04 54 44.7,3.3,-23.03,10.3,53,32
